"X.","Team","Team.1","M.","W","D","L","goals","Dif","Pt.","X1"
"50",50,NA,"Girona FC",76,23,19,34,"87:112",-25,88,"Latest news »"
"51",51,NA,"CF Extremadura",80,20,23,37,"62:117",-55,83,"Latest news »"
"52",52,NA,"Mérida AD",80,19,24,37,"70:115",-45,81,"Latest news »"
"53",53,NA,"Real Unión",72,21,14,37,"153:184",-31,77,"Latest news »"
"54",54,NA,"AD Almería",68,17,18,33,"72:116",-44,69,"Latest news »"
"55",55,NA,"SD Huesca",76,14,25,37,"77:118",-41,67,"Latest news »"
"56",56,NA,"CE Europa",54,18,6,30,"97:131",-34,60,"Latest news »"
"57",57,NA,"Lleida Esportiu",68,13,14,41,"70:182",-112,53,"Latest news »"
"58",58,NA,"Xerez CD",38,8,10,20,"38:66",-28,34,"Latest news »"
"59",59,NA,"CD Condal",30,7,8,15,"37:57",-20,29,"Latest news »"
"60",60,NA,"Atlético Tetuán",30,7,5,18,"51:85",-34,26,"Latest news »"
"61",61,NA,"CD Leonesa",30,5,4,21,"34:65",-31,19,"Latest news »"
"X.","Team","Team.1","M.","W","D","L","goals","Dif","Pt.","X1"
"1",1,NA,"Juventus",3031,1668,822,541,"5315:2860",2455,5826,"Latest news »"
"2",2,NA,"Inter",3070,1537,848,685,"5199:3164",2035,5459,"Latest news »"
"3",3,NA,"AC Milan",3007,1456,880,671,"4930:3095",1835,5210,"Latest news »"
"4",4,NA,"AS Roma",3024,1276,899,849,"4447:3433",1014,4727,"Latest news »"
"5",5,NA,"ACF Fiorentina",2846,1122,867,857,"3959:3295",664,4188,"Latest news »"
"6",6,NA,"SSC Napoli",2569,1038,789,742,"3502:2921",581,3903,"Latest news »"
"7",7,NA,"Lazio Roma",2709,1036,787,886,"3780:3378",402,3862,"Latest news »"
"8",8,NA,"Torino FC",2638,971,851,816,"3532:3117",415,3763,"Latest news »"
"9",9,NA,"Bologna FC",2554,907,792,855,"3333:3145",188,3505,"Latest news »"
"10",10,NA,"Sampdoria",2230,747,691,792,"2804:2846",-42,2928,"Latest news »"
"11",11,NA,"Atalanta",2127,656,682,789,"2458:2745",-287,2642,"Latest news »"
"12",12,NA,"Genoa CFC",1911,589,579,743,"2364:2708",-344,2346,"Latest news »"
"13",13,NA,"Udinese Calcio",1706,549,499,658,"2139:2412",-273,2137,"Latest news »"
"14",14,NA,"Cagliari Calcio",1433,417,468,548,"1579:1840",-261,1719,"Latest news »"
"15",15,NA,"Parma Calcio 1913",973,355,281,337,"1259:1254",5,1339,"Latest news »"
"16",16,NA,"Palermo FC",1050,313,289,448,"1169:1558",-389,1228,"Latest news »"
"17",17,NA,"Vicenza Virtus",1012,304,304,404,"1042:1299",-257,1216,"Latest news »"
"18",18,NA,"Hellas Verona",1007,268,331,408,"1070:1373",-303,1135,"Latest news »"
"19",19,NA,"SSC Bari",1046,272,292,482,"1018:1574",-556,1108,"Latest news »"
"20",20,NA,"US Triestina",900,261,275,364,"1027:1312",-285,1058,"Latest news »"
"21",21,NA,"Brescia Calcio",800,206,231,363,"828:1156",-328,849,"Latest news »"
"22",22,NA,"Chievo Verona",634,186,185,263,"659:837",-178,740,"Latest news »"
"23",23,NA,"AS Livorno",660,185,180,295,"760:1078",-318,735,"Latest news »"
"24",24,NA,"SPAL 2013 Ferrara",658,175,196,287,"666:913",-247,721,"Latest news »"
"25",25,NA,"Calcio Padova",560,182,130,248,"710:900",-190,676,"Latest news »"
"26",26,NA,"Calcio Catania",602,162,181,259,"617:862",-245,667,"Latest news »"
"27",27,NA,"Modena FC",470,138,135,197,"516:668",-152,549,"Latest news »"
"28",28,NA,"US Lecce",564,123,161,280,"580:946",-366,530,"Latest news »"
"29",29,NA,"Ascoli Calcio",508,110,190,208,"425:629",-204,520,"Latest news »"
"30",30,NA,"US Alessandria 1912",440,136,110,194,"564:715",-151,518,"Latest news »"
"31",31,NA,"AC Perugia Calcio",418,126,140,152,"476:554",-78,513,"Latest news »"
"32",32,NA,"Empoli FC",489,126,135,228,"495:725",-230,508,"Latest news »"
